date,equity
2025-09-26,100516.54
2025-09-29,100111.47
2025-09-30,100492.93
2025-10-01,101263.96
2025-10-02,100890.36
2025-10-03,101182.84
2025-10-06,101202.38
2025-10-07,101148.3
2025-10-08,101457.63
2025-10-09,101748.39
2025-10-10,100876.9
2025-10-13,101158.05
2025-10-14,100884.87
2025-10-15,101324.0
2025-10-16,101191.59
2025-10-17,100567.58
2025-10-20,100381.96
2025-10-21,99924.93
2025-10-22,100102.21
2025-10-23,100459.98
2025-10-24,100932.52
2025-10-27,100861.37
2025-10-28,100413.94
2025-10-29,100659.07
2025-10-30,100767.4
2025-10-31,101003.57
2025-11-03,101728.49
2025-11-04,101602.18
2025-11-05,101985.87
2025-11-06,101795.86
2025-11-07,102050.0
2025-11-10,101941.65
2025-11-11,101578.37
2025-11-12,101542.92
2025-11-13,101431.79
2025-11-14,101431.79
2025-11-17,101431.79
2025-11-18,101431.79
2025-11-19,101431.79
2025-11-20,101431.79
2025-11-21,101431.79
2025-11-24,101431.79
2025-11-25,101431.79
2025-11-26,101431.79
2025-11-28,101431.79
2025-12-01,101431.79
2025-12-02,101431.79
2025-12-03,101431.79
2025-12-04,101431.79
2025-12-05,101431.79
2025-12-08,101431.79
2025-12-09,101431.79
2025-12-10,101431.79
2025-12-11,101431.79
2025-12-12,101431.79
2025-12-15,101431.79
2025-12-16,101431.79
2025-12-17,101431.79
2025-12-18,101431.79
2025-12-19,101431.79
2025-12-22,101340.59
2025-12-23,101450.74
2025-12-24,101472.5
2025-12-26,101430.5
2025-12-29,101198.95
2025-12-30,101206.03
2025-12-31,100794.51
2026-01-02,99732.54
2026-01-05,100131.67
2026-01-06,100933.46
2026-01-07,100168.11
2026-01-08,100649.08
2026-01-09,100776.6
2026-01-12,100465.19
2026-01-13,99755.98
2026-01-14,100594.15
2026-01-15,100539.18
2026-01-16,100427.8
2026-01-20,99463.98
2026-01-21,100035.84
2026-01-22,100347.84
2026-01-23,100060.83
2026-01-26,100035.13
2026-01-27,99684.58
2026-01-28,99015.39
2026-01-29,96461.86
2026-01-30,96388.3
2026-02-02,96388.3
2026-02-03,96388.3
2026-02-04,96388.3
2026-02-05,96388.3
2026-02-06,96388.3
2026-02-09,96081.09
2026-02-10,95869.69
2026-02-11,95715.77
2026-02-12,96204.5
2026-02-13,96406.17
2026-02-17,96428.69
2026-02-18,96112.96
2026-02-19,95950.49
2026-02-20,95847.02
2026-02-23,96486.78
2026-02-24,96294.99
2026-02-25,95947.8
2026-02-26,95504.32
2026-02-27,95949.94
2026-03-02,95374.63
2026-03-03,95265.57
2026-03-04,95327.56
2026-03-05,94921.13
2026-03-06,94825.6
2026-03-09,94712.16
2026-03-10,94693.4
2026-03-11,94721.97
2026-03-12,94623.46
2026-03-13,94380.8
2026-03-16,94456.28
2026-03-17,94384.21
2026-03-18,93897.19
2026-03-19,93807.21
2026-03-20,93757.74
2026-03-23,93751.77
2026-03-24,93763.28
2026-03-25,93847.72
2026-03-26,94015.75
2026-03-27,93942.4
2026-03-30,94101.04
2026-03-31,94287.41
2026-04-01,94180.36
2026-04-02,93918.52
2026-04-06,93826.83
2026-04-07,93813.18
2026-04-08,94035.79
2026-04-09,94070.34
2026-04-10,93880.13
2026-04-13,93817.45
2026-04-14,93979.07
2026-04-15,93876.7
2026-04-16,93996.9
2026-04-17,93826.27
2026-04-20,93602.44
2026-04-21,93703.77
2026-04-22,93759.53
2026-04-23,93541.28
2026-04-24,93762.87
2026-04-27,93929.5
2026-04-28,93732.71
2026-04-29,93427.95
2026-04-30,93654.56
2026-05-01,93632.21
2026-05-04,93825.65
2026-05-05,94301.33
2026-05-06,94301.15
2026-05-07,94630.24
2026-05-08,94618.05
2026-05-11,94778.03
2026-05-12,94611.39
2026-05-13,94025.59
2026-05-14,94023.57
2026-05-15,94104.76
2026-05-18,94102.74
2026-05-19,93485.47
2026-05-20,93726.62
2026-05-21,93348.44
2026-05-22,92923.08
2026-05-26,92711.57
2026-05-27,92845.04
2026-05-28,93307.74
2026-05-29,94745.09
2026-06-01,95904.21
2026-06-02,95348.86
2026-06-03,94543.34
2026-06-04,94547.01
2026-06-05,94198.95
2026-06-08,94062.23
2026-06-09,93779.58
2026-06-10,93634.59
2026-06-11,93550.21
2026-06-12,93625.93
2026-06-15,93425.49
2026-06-16,93447.89
2026-06-17,92822.08
2026-06-18,91713.91
2026-06-22,91753.45
2026-06-23,91842.71
2026-06-24,92355.05
2026-06-25,92611.94
2026-06-26,93130.48
